노선번호,순번,정류소명,좌표X,좌표Y,위도,경도,ARSID
0017,1,청암자이아파트,195276.80,448344.90,37.53454357,126.9465545,03689
0017,2,청암동강변삼성아파트,195520.90,448280.50,37.53396448,126.949317,03298
0017,3,청심경로당,195630.70,448251.40,37.53370279,126.9505596,03321
0017,4,원효2동주민센터,195665.20,448307.80,37.53421117,126.9509497,03304
0017,5,산천동,195935.60,448432.50,37.53533607,126.9540087,03306
0017,6,신창동세방아파트,196029.40,448470.60,37.53567979,126.9550699,03308
0017,7,남이장군사당,196286.60,448575.00,37.53662161,126.9579797,03310
0017,8,새마을금고,196423.90,448624.50,37.53706819,126.9595332,03312
0017,9,용문시장,196528.30,448574.70,37.53661985,126.9607148,03247
0017,10,용산전자상가입구,196644.10,448336.40,37.53447296,126.9620262,03250
0017,11,전자상가관광터미널,196804.10,448122.60,37.53254698,126.9638377,03252
0017,12,신용산역3번출구,197106.40,447705.70,37.52879131,126.9672599,03119
0017,13,용산역,196992.90,447668.60,37.52845663,126.9659758,03255
0017,14,용사의집,196855.30,447534.60,37.52724871,126.9644195,03256
0017,15,한강로동웨딩코리아,196812.30,447316.90,37.52528687,126.9639339,03122
0017,16,서부이촌동입구,196437.60,447142.70,37.52371578,126.9596954,03294
0017,17,이촌2동대림아파트.새남터성지,196139.60,447415.40,37.52617188,126.9563224,03292
0017,18,이촌2동주민센터,196028.40,447588.70,37.52773301,126.9550633,03290
0017,19,이촌2동부영주유소,195988.10,447858.90,37.5301676,126.9546059,03288
0017,20,이촌119안전센터.성촌공원,195854.10,447852.90,37.53011294,126.9530897,03287
0017,21,원효2동산호아파트후문,195554.00,448122.40,37.53254,126.9496925,03296
0017,22,청암동강변삼성아파트,195520.90,448280.50,37.53396448,126.949317,03298
0017,23,원효2동산호아파트,195629.00,448175.00,37.53301434,126.9505408,03299
0017,24,현대자동차써비스,195890.90,448067.70,37.53204866,126.9535049,03301
0017,25,이촌2동부영주유소,195965.50,447811.90,37.52974399,126.9543504,03289
0017,26,이촌2동주민센터,195994.40,447611.00,37.52793381,126.9546785,03291
0017,27,이촌2동대림아파트.새남터성지,196125.70,447399.20,37.52602584,126.9561652,03293
0017,28,이촌2동강변아파트,196445.10,447112.40,37.52344278,126.9597804,03295
0017,29,한강대교북단,196746.60,447183.70,37.52408637,126.9631912,03001
0017,30,신용산역,197012.90,447533.80,37.52724202,126.9662027,03003
0017,31,신용산역,197143.40,447843.20,37.53003043,126.967678,03253
0017,32,용산전자상가15동,196815.20,448147.00,37.53276689,126.9639632,03251
0017,33,용산전자상가입구,196661.40,448346.80,37.53456674,126.962222,03249
0017,34,용문시장,196585.20,448503.20,37.53597578,126.961359,03248
0017,35,새마을금고,196413.70,448637.30,37.53718349,126.9594177,03313
0017,36,남이장군사당,196313.10,448595.40,37.53680554,126.9582795,03311
0017,37,신창동세방아파트,196018.50,448486.90,37.53582663,126.9549464,03309
0017,38,산천동,195917.50,448447.80,37.53547385,126.9538038,03307
0017,39,산천동리버힐삼성아파트,195686.60,448339.50,37.53449691,126.9511916,03305
0017,40,삼성테마트,195615.20,448255.90,37.53374326,126.9503842,03322
0017,41,청암동강변삼성아파트,195426.00,448352.30,37.534611,126.9482427,03297
0017,42,청암자이아파트(가상),195323.10,448339.50,37.53449514,126.9470784,03900
02,1,남산서울타워,199154.80,450184.80,37.55113454,126.990434,03320
02,2,남산도서관,198369.40,450315.40,37.55231031,126.9815445,03167
02,3,교육연구정보원,198261.10,450556.40,37.55448175,126.9803182,02269
02,4,남산케이블카.남산산책로입구,198584.60,450642.90,37.55526175,126.9839796,02220
02,5,서울애니메이션센터숭의여대,198895.90,451015.20,37.55861695,126.9875025,02221
02,6,퇴계로3가.한옥마을.한국의집,199336.00,451265.00,37.5608683,126.9924838,02152
02,7,충무로역2번출구.대한극장앞,199551.00,451304.00,37.56121986,126.9949175,02153
02,8,퇴계로5가.제일병원,199997.00,451432.40,37.56237697,126.999966,02207
02,9,동대입구역.장충동,200475.80,450961.20,37.5581309,127.0053856,02222
02,10,국립극장,200083.70,450245.50,37.55168189,127.0009473,02210
02,11,남산북측순환로입구,199895.90,450136.00,37.55069519,126.9988218,02254
02,12,남산서울타워,199154.80,450184.80,37.55113454,126.990434,03320
02,13,남산도서관,198369.40,450315.40,37.55231031,126.9815445,03167
02,14,교육연구정보원,198261.10,450556.40,37.55448175,126.9803182,02269
02,15,남산케이블카.남산산책로입구,198584.60,450642.90,37.55526175,126.9839796,02220
02,16,서울애니메이션센터숭의여대,198895.90,451015.20,37.55861695,126.9875025,02221
02,17,퇴계로3가.한옥마을.한국의집,199336.00,451265.00,37.5608683,126.9924838,02152
02,18,충무로역2번출구.대한극장앞,199551.00,451304.00,37.56121986,126.9949175,02153
02,19,퇴계로5가.제일병원,199997.00,451432.40,37.56237697,126.999966,02207
02,20,동대입구역.장충동,200475.80,450961.20,37.5581309,127.0053856,02222
02,21,국립극장,200083.70,450245.50,37.55168189,127.0009473,02210
02,22,남산북측순환로입구,199895.90,450136.00,37.55069519,126.9988218,02254
03,1,남산서울타워,199154.80,450184.80,37.55113454,126.990434,03320
03,2,남산도서관,198369.40,450315.40,37.55231031,126.9815445,03167
03,3,백범광장,198247.50,450688.50,37.55567207,126.9801639,02215
03,4,후암삼거리,197886.80,450429.60,37.55333838,126.976082,02120
03,5,남대문경찰서,197680.30,450504.30,37.554011,126.9737445,02218
03,6,서울스퀘어앞,197635.00,450651.60,37.5553382,126.9732313,02282
03,7,남대문시장.회현역,198097.40,451001.10,37.55848859,126.9784642,02146
03,8,남산3호터널,198468.90,450997.00,37.55845234,126.9826693,02147
03,9,용산한신아파트,198860.80,448927.20,37.53980204,126.9871084,03150
03,10,해방촌,198803.30,448694.40,37.53770422,126.9864581,03151
03,11,용산구청.이태원시장,199107.90,448289.90,37.53405963,126.9899055,03189
03,12,해밀턴호텔,199395.00,448313.60,37.53427342,126.9931541,03191
03,13,이태원119안전센터,199752.10,448342.90,37.53453761,126.9971949,03193
03,14,한남동주민센터,200053.40,448583.30,37.53670388,127.0006043,03195
03,15,한강진역.블루스퀘어,200186.20,449045.80,37.54087143,127.0021071,03197
03,16,버티고개,200514.10,449780.80,37.54749436,127.0058183,02237
03,17,송도병원앞,200682.00,450088.20,37.55026422,127.0077188,02197
03,18,약수역7번출구.약수동주민센터,200821.50,450374.90,37.55284754,127.009298,02196
03,19,동대입구역.장충동,200475.80,450961.20,37.5581309,127.0053856,02222
03,20,국립극장,200083.70,450245.50,37.55168189,127.0009473,02210
03,21,남산북측순환로입구,199895.90,450136.00,37.55069519,126.9988218,02254
05,1,남산서울타워,199154.80,450184.80,37.55113454,126.990434,03320
05,2,남산도서관,198369.40,450315.40,37.55231031,126.9815445,03167
05,3,백범광장,198247.50,450688.50,37.55567207,126.9801639,02215
05,4,힐튼호텔,197950.30,450775.50,37.55645541,126.9767998,02285
05,5,남대문시장악세사리전문상가,197897.80,451014.60,37.55860981,126.9762048,02124
05,6,남대문시장,198238.40,451300.60,37.56118765,126.9800595,02126
05,7,명동입구,198696.10,451240.90,37.56065046,126.9852405,02149
05,8,퇴계로3가.한옥마을.한국의집,199336.00,451265.00,37.5608683,126.9924838,02152
05,9,충무로역2번출구.대한극장앞,199551.00,451304.00,37.56121986,126.9949175,02153
05,10,퇴계로5가.제일병원,199997.00,451432.40,37.56237697,126.999966,02207
05,11,퇴계로6가,200350.40,451536.90,37.56331855,127.0039665,02205
05,12,광희문.광희동사거리,200833.90,451648.30,37.56432206,127.0094398,02275
05,13,충무아트홀.중부소방서,201302.20,451725.20,37.56501445,127.0147411,02178
05,14,신당동떡볶이타운,201333.60,451475.30,37.56276258,127.0150961,02187
05,15,신당동.청구역,201151.30,451085.90,37.55925397,127.0130319,02190
05,16,약수역2번출구.중구구립도서관,200984.80,450722.30,37.55597778,127.0111467,02191
05,17,동대입구역.장충동,200475.80,450961.20,37.5581309,127.0053856,02222
05,18,국립극장,200083.70,450245.50,37.55168189,127.0009473,02210
05,19,남산북측순환로입구,199895.90,450136.00,37.55069519,126.9988218,02254
100,1,한성여객종점,206166.00,459887.00,37.63853961,127.0698687,11428
100,2,노원평생학습관,206083.60,459975.70,37.63933941,127.0689357,11387
100,3,서울시립북서울미술관,205859.10,460113.50,37.64058256,127.0663929,11374
100,4,중계역,205764.80,460378.40,37.64297012,127.0653265,11373
100,5,중계역2번출구,205730.50,460671.80,37.6456141,127.0649401,11376
100,6,중계시영3단지,205997.50,460880.90,37.64749656,127.0679675,11378
100,7,중계시영3단지상가,206166.10,460809.80,37.64685477,127.0698776,11380
100,8,중계시영4단지,206301.40,460440.70,37.64352797,127.0714077,11381
100,9,노원경찰서,206370.50,460247.80,37.64178931,127.0721891,11438
100,10,하계1동주민센터,206427.30,460096.20,37.64042288,127.0728314,11436
100,11,골마을근린공원,206567.20,459867.60,37.63836202,127.0744146,11434
100,12,하계역,206132.60,459699.50,37.6368503,127.0694887,11426
100,13,하계우성아파트,205896.20,459521.50,37.63524793,127.0668086,11454
100,14,하계극동아파트,205712.20,459371.30,37.63389566,127.0647225,11452
100,15,월계헬스케어센터,205435.10,459157.00,37.63196633,127.0615812,11339
100,16,인덕대학,204878.80,458714.30,37.62798036,127.0552752,11311
100,17,월계주공108동앞롯데캐슬루나아파트,204642.20,458515.00,37.62618572,127.0525934,11310
100,18,오현초등학교,204235.60,458206.70,37.62340965,127.0479851,09186
100,19,꿈의숲주차장입구,203999.90,457923.80,37.62086154,127.0453133,09312
100,20,북서울꿈의숲,203906.60,457735.80,37.6191679,127.0442553,09187
100,21,송중동한일유엔아이,203350.60,457133.90,37.61374647,127.037954,09188
100,22,창문여고앞,203181.70,456961.60,37.61219449,127.03604,09189
100,23,숭곡초등학교입구,202833.20,456734.40,37.61014837,127.0320916,09190
100,24,월곡뉴타운,202490.60,456374.10,37.60690275,127.0282097,08001
100,25,길음뉴타운,202133.90,456010.00,37.60362279,127.0241685,08003
100,26,미아리고개(아리랑아트홀),201916.90,455475.60,37.59880786,127.0217094,08005
100,27,돈암사거리.성신여대입구,201601.10,454913.10,37.59373984,127.0181316,08007
100,28,삼선교.한성대학교,200815.30,454481.20,37.58984907,127.0092324,08009
100,29,혜화동로터리,200155.00,454075.50,37.5861937,127.0017551,01005
100,30,명륜3가.성대입구,199853.40,453684.20,37.58266774,126.9983401,01003
100,31,창경궁.서울대학교병원,199696.70,453297.10,37.57917958,126.996566,01002
100,32,원남동,199764.90,452781.00,37.57452907,126.9973383,01198
100,33,광장시장,199800.70,452222.10,37.56949288,126.9977438,01247
100,34,을지로4가,199665.90,451905.90,37.56664359,126.9962179,02162
100,35,을지로3가,199149.80,451873.60,37.5663522,126.9903754,02160
100,36,을지로2가.기업은행본점.서울노동청,198809.50,451861.50,37.56624279,126.9865232,02158
100,37,롯데백화점,198413.20,451657.50,37.56440397,126.9820374,02140
100,38,북창동.남대문시장,198049.20,451294.10,37.5611287,126.9779178,02127
100,39,숭례문,197683.40,451017.50,37.55863543,126.973778,02008
100,40,서울역버스환승센터,197570.60,450666.40,37.55547139,126.9725024,02004
100,41,갈월동,197500.20,450007.10,37.54953029,126.9717078,03012
100,42,숙대입구역,197546.30,449365.90,37.54375259,126.9722317,03010
100,43,삼각지역,197716.50,448503.40,37.53598107,126.9741605,03008
100,44,KT용산지사,197398.50,448066.90,37.53204694,126.9705636,03006
100,45,신용산역,197049.70,447608.70,37.52791706,126.9666187,03004
100,46,한강대교북단,196746.00,447207.70,37.52430263,126.9631843,03002
100,47,이촌동동부센트레빌,197005.60,446893.50,37.52147226,126.9661227,03214
100,48,이촌1동충신교회앞,197201.20,446863.50,37.52120254,126.9683357,03216
100,49,이촌동한강맨션.이촌역,197601.30,446738.10,37.52007369,126.9728627,03218
100,50,신용산초등학교,197888.00,446624.20,37.51904804,126.9761065,03220
100,51,이촌동점보아파트,198086.80,446545.20,37.51833661,126.9783558,03222
100,52,금강병원.반도아파트,198331.40,446474.60,37.51770091,126.9811232,03224
100,53,서빙고신동아아파트,198706.90,446450.30,37.51748254,126.9853712,03226
